Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
7.8,-8.5333,79.25,18,9,2.06,GN,1643569803
-9.8,-139.0333,77.81,77,26,14.65,PF,1643569803
11.6667,92.75,72.54,71,9,7.14,IN,1643569804
73.5069,80.5464,-2.52,93,100,21.36,RU,1643569804
27.9769,-114.0611,64.92,55,97,13.78,MX,1643569776
-20.7333,139.5,74.97,100,100,4.61,AU,1643569805
-7.3817,108.2082,72.28,97,100,1.99,ID,1643569805
22.0752,-159.319,75.47,71,20,1.99,US,1643569806
63.7506,-68.5145,-20.52,96,100,4.07,CA,1643569806
71.2906,-156.7887,-11.18,77,40,10.36,US,1643569806
-46.6,168.3333,59.81,91,100,3.91,NZ,1643569807
-34.4187,19.2345,71.8,77,100,15.35,ZA,1643569807
-54.8,-68.3,47.86,71,75,29.93,AR,1643569639
44.5461,15.3747,31.69,83,9,3.78,HR,1643569808
69.4541,-133.0374,-4.02,96,100,17.36,CA,1643569787
-38.0023,-57.5575,84.87,56,75,17.0,AR,1643569637
77.484,-69.3632,-6.21,67,100,9.66,GL,1643569809
17.0151,54.0924,73.49,64,0,4.61,OM,1643569809
32.6667,-17.1,66.13,44,1,8.46,PT,1643569760
41.7057,-70.2286,24.91,67,76,14.97,US,1643569810
57.0531,-135.33,37.29,70,100,10.36,US,1643569810
51.1167,133.0167,-19.08,99,100,0.83,RU,1643569810
3.0707,172.7902,81.64,77,77,21.81,KI,1643569811
7.7777,100.3213,79.39,76,7,5.93,TH,1643569811
-21.2078,-159.775,78.85,89,75,10.36,CK,1643569790
-33.65,115.3333,64.09,70,84,19.51,AU,1643569787
-14.5566,30.8149,67.71,99,100,1.81,ZM,1643569812
62.456,-114.3525,-12.48,77,100,9.22,CA,1643569640
45.8351,-66.4792,19.94,57,0,11.99,CA,1643569813
59.1167,159.9667,22.5,79,100,24.07,RU,1643569813
-53.15,-70.9167,53.71,43,75,32.21,CL,1643569814
33.194,-82.5271,57.38,34,4,17.05,US,1643569814
69.7008,170.3133,-11.42,95,100,3.67,RU,1643569814
52.8061,-7.2106,46.81,85,100,18.14,IE,1643569815
26.1247,127.6694,59.02,55,75,26.46,JP,1643569815
-35.3333,-72.4167,69.96,63,4,19.62,CL,1643569816
66.0449,-17.3389,24.42,70,24,25.1,IS,1643569716
18.303,-65.301,85.66,75,1,5.86,PR,1643569816
40.5982,-124.1573,53.92,79,77,3.0,US,1643569817
6.1241,81.1185,76.95,88,5,12.08,LK,1643569817
41.3712,-73.414,26.02,47,0,8.05,US,1643569818
-34.5322,20.0403,71.28,84,100,11.79,ZA,1643569818
-37.6167,-73.65,62.85,62,2,17.45,CL,1643569818
-0.6,73.0833,81.7,70,100,8.39,MV,1643569819
71.9667,102.5,-7.17,98,100,9.91,RU,1643569819
-18.5933,-39.7322,84.58,71,21,12.06,BR,1643569819
37.1041,-113.5841,57.67,22,0,1.99,US,1643569637
-46.1927,168.8643,59.49,96,41,1.14,NZ,1643569820
-20.2078,57.7625,80.1,83,100,18.92,MU,1643569820
68.2191,-135.0107,-1.66,96,100,5.79,CA,1643569881
-33.918,25.5701,75.09,87,100,15.57,ZA,1643569628
50.6336,-96.9907,10.2,89,100,13.2,CA,1643569881
4.8833,38.0833,68.22,19,99,10.07,ET,1643569882
-16.4833,-151.75,80.13,72,44,7.36,PF,1643569882
-23.1203,-134.9692,76.12,62,99,4.54,PF,1643569883
-0.3582,42.5454,77.74,75,31,14.94,SO,1643569883
35.1333,140.3,40.19,60,100,12.17,JP,1643569883
19.7297,-155.09,76.24,61,40,5.75,US,1643569760
47.6666,-52.7314,44.76,84,100,29.75,CA,1643569884
55.1009,14.7066,39.11,65,0,19.57,DK,1643569884
-6.2222,-57.7528,79.65,76,96,4.59,BR,1643569885
-9.4431,147.1797,74.66,93,100,10.27,PG,1643569885
46.6806,113.2792,-7.55,96,37,5.23,MN,1643569885
66.3167,-179.1667,0.03,63,67,8.14,RU,1643569886
60.3725,93.0408,-6.59,99,99,2.93,RU,1643569886
63.7256,8.834,33.91,53,100,6.89,NO,1643569886
-4.352,152.2633,76.75,84,99,4.47,PG,1643569887
-20.0064,57.6608,80.38,76,100,1.99,MU,1643569887
-34.0033,24.7314,72.88,87,100,12.28,ZA,1643569705
-22.9661,-42.0278,84.06,70,40,11.5,BR,1643569888
29.0361,114.5636,38.1,85,100,2.82,CN,1643569888
38.5167,-28.7,59.4,67,40,18.41,PT,1643569889
